clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
-0.10803134960225765,0.8737215941319569,1.0157030607856482e-6,0.9981844744257231,"c(-1,1)",1,1,0.2,1,0
-0.07567018462726878,1.2010618271230835,1.8035495634215019e-6,0.996922049095086,"c(-1,1)",1.25,1,0,1,0
-0.09981444559179622,0.946066744272797,1.66080914536624e-6,0.997286239341971,"c(-1,1)",1.25,1,0.1,1,0
-0.24123331506027726,0.949247281653523,1.516926200912967e-6,0.99723819370603,"c(-1,1)",1.25,1,0.2,1,0
-0.02697163578324588,1.008634126802252,1.7217016188275797e-6,1.001045665552195,"c(-1,1)",1.5,1,0,1,0
-0.10255917343167036,0.9266295765307214,1.7726116772997144e-6,1.0011509025786391,"c(-1,1)",1.5,1,0.1,1,0
-0.06691154218010517,1.0884087693071884,2.2705677062186483e-6,1.0009385607851777,"c(-1,1)",1.5,1,0.2,1,0
-0.014509255726444039,0.9412547768396238,1.3502855182517253e-6,0.999944142431784,"c(-1,1)",1.75,1,0,1,0
0.05968435938563072,0.9058473274322166,1.9810922742401848e-6,0.9999754967745167,"c(-1,1)",1.75,1,0.1,1,0
-0.17826780822400032,0.9935450602428562,2.0438152057817346e-6,0.9999273623596769,"c(-1,1)",1.75,1,0.2,1,0
-0.01264683359798805,0.9656674923795013,1.3690126885376711e-6,0.998518263020299,"c(-1,1)",2,1,0,1,0
0.04079969315701725,1.1360411613411208,2.0937356598537836e-6,0.9982865762610464,"c(-1,1)",2,1,0.1,1,0
0.1501304738833053,0.8743068139174078,1.0701508876408151e-6,0.9986558529429495,"c(-1,1)",2,1,0.2,1,0
-0.05451337322855218,0.961207752863284,1.3964128316670977e-6,0.9969695117396224,"c(-1,1)",2.25,1,0,1,0
-0.14471273760496617,1.0300023286547908,1.948230644205335e-6,0.9968402647591983,"c(-1,1)",2.25,1,0.1,1,0
-0.04296550566088847,0.7904475122530382,9.467722698777303e-7,0.9971999334461656,"c(-1,1)",2.25,1,0.2,1,0
-0.10364341695809268,0.9472453982494083,1.7173911448987324e-6,0.9952461386464994,"c(-1,1)",2.5,1,0,1,0
-0.05961288978341509,1.041728352661254,2.1447868609335954e-6,0.9950303149025171,"c(-1,1)",2.5,1,0.1,1,0
-0.08598957605238695,1.1533787762363101,3.4163938193785523e-6,0.9948478303890078,"c(-1,1)",2.5,1,0.2,1,0
-0.02377647617048801,0.9361590311781074,1.6889778420226955e-6,1.0020385373802958,"c(-1,1)",2.75,1,0,1,0
-0.020238832135224774,1.0182870641034867,2.6307301218908715e-6,1.0018982732287967,"c(-1,1)",2.75,1,0.1,1,0
0.03358676394927885,0.7538599296403119,1.9924668054643042e-6,1.0024155130060899,"c(-1,1)",2.75,1,0.2,1,0
0.11624866482483326,0.8875275171977136,4.106327170611642e-6,1.0001052969251472,"c(-1,1)",3,1,0,1,0
-0.14146059656196067,0.9925025463917884,2.7441179904198793e-6,0.9999903450400257,"c(-1,1)",3,1,0.1,1,0
-0.13070496268794457,1.1501341910845082,4.0081806681666755e-6,0.9994859458538797,"c(-1,1)",3,1,0.2,1,0
-0.060801989352596356,0.9857821734436113,2.5433793290044113e-6,0.9972194544070688,"c(-1,1)",3.25,1,0,1,0
-0.021460162109901655,0.8772746440158481,1.9595293705696157e-6,0.9973435636997755,"c(-1,1)",3.25,1,0.1,1,0
0.040475105073293056,0.9988051326372438,3.6226237780648153e-6,0.9972305625921557,"c(-1,1)",3.25,1,0.2,1,0
0.007225388635301636,0.9868608171926435,2.7064677557757436e-6,1.0043626432641355,"c(-1,1)",3.5,1,0,1,0
0.03849531337549981,0.9248749899745831,2.847118281175148e-6,1.0044688396202055,"c(-1,1)",3.5,1,0.1,1,0
-0.061754009697467284,1.0138739699185464,4.573008701050593e-6,1.0044256897123394,"c(-1,1)",3.5,1,0.2,1,0
-0.1124681915603726,1.0177231691631616,4.877950961848934e-6,1.0010751429228442,"c(-1,1)",3.75,1,0,1,0
-0.0709201914890808,0.9108033348994453,2.9045946728084195e-6,1.0013639147510731,"c(-1,1)",3.75,1,0.1,1,0
-0.07128541746451424,1.14104457457872,8.90632267600453e-6,1.0011499634028804,"c(-1,1)",3.75,1,0.2,1,0
0.0941683035806336,1.0909045001644169,5.894619029457685e-6,0.9978448946355449,"c(-1,1)",4,1,0,1,0
-0.031048359939443396,0.9988759651677737,7.209838263123597e-6,0.9979497584981923,"c(-1,1)",4,1,0.1,1,0
0.21756448188206018,1.143752344665912,1.4082154229972575e-5,0.9987322203778827,"c(-1,1)",4,1,0.2,1,0
